date,NO2,SO2,CO,O3,PM25,wd,ws,temp,RH,P
1/1/2020 00:00,95.88,450.64,174.04,428,162.6,297,0,21.4,0.5,935.7
1/1/2020 01:00,95.88,450.64,171.75,428,137.7,177,0,21.3,0.5,935.6
1/1/2020 02:00,90.24,445.4,168.315,420,85.3,123,0.2,21.4,0.5,935.4
1/1/2020 03:00,97.76,450.64,169.46,442,60.5,79,0,21.1,0.5,935.3
1/1/2020 04:00,97.76,450.64,168.315,426,38.5,95,0.6,21,0.5,935.2
1/1/2020 05:00,94,455.88,171.75,426,29.4,143,0,20.8,0.5,935.1
1/1/2020 06:00,86.48,450.64,178.62,428,18.6,35,0,20.7,0.6,934.9
1/1/2020 07:00,88.36,455.88,195.795,444,NA,4,0.6,20.8,0.5,934.7
1/1/2020 08:00,86.48,466.36,216.405,440,16.4,1,0.4,21,0.5,934.6
1/1/2020 09:00,86.48,468.98,231.29,446,0.1,359,0.9,22.1,0.5,934.6
1/1/2020 10:00,86.48,471.6,240.45,446,0.1,349,0.7,22,0.6,934.4
1/1/2020 11:00,88.36,474.22,247.32,446,0.1,355,0.6,21.8,0.5,934.3
1/1/2020 12:00,88.36,474.22,257.625,446,0.1,10,0.3,21.6,0.5,934.2
1/1/2020 13:00,86.48,479.46,270.22,446,0.1,26,0.4,21.3,0.5,934.1
1/1/2020 14:00,90.24,482.08,286.25,450,0.1,18,0.2,21.1,0.5,934.1
1/1/2020 15:00,90.24,487.32,311.44,446,0.1,355,0.9,21.6,100,934
1/1/2020 16:00,92.12,489.94,337.775,446,0.1,10,0.5,21.8,100,933.9
1/1/2020 17:00,94,492.56,364.11,444,0.1,19,0.5,21.8,100,933.8
1/1/2020 18:00,95.88,495.18,388.155,440,0.1,13,0.2,21.7,100,933.8
1/1/2020 19:00,94,503.04,412.2,434,0.1,292,0.2,21.4,100,933.8
1/1/2020 20:00,97.76,505.66,435.1,440,0.1,303,0.6,21.1,100,933.8
1/1/2020 21:00,97.76,510.9,463.725,436,0.1,358,0.5,21.3,100,933.8
1/1/2020 22:00,99.64,516.14,488.915,434,0.1,308,1,21.6,100,933.8
1/1/2020 23:00,101.52,518.76,503.8,430,0.1,275,1.4,21.5,100,933.9
2/1/2020 00:00,103.4,518.76,511.815,430,0.1,229,1,20.9,100,934
2/1/2020 01:00,101.52,521.38,517.54,426,0.1,59,0,20.2,100,934
2/1/2020 02:00,103.4,521.38,519.83,430,0.1,304,1.1,19.9,100,934.1
2/1/2020 03:00,105.28,518.76,516.395,428,0.1,185,0,19.7,100,934
2/1/2020 04:00,103.4,518.76,510.67,426,0.1,257,1.5,19.7,100,934
2/1/2020 05:00,103.4,518.76,503.8,430,0.1,293,0.1,19.8,100,934.1
2/1/2020 06:00,103.4,516.14,495.785,430,0.1,299,0.2,19.3,100,934.1
2/1/2020 07:00,103.4,516.14,484.335,432,0,137,1.1,19.3,100,934.2
2/1/2020 08:00,103.4,513.52,474.03,432,0,187,0.3,19.2,100,934.2
2/1/2020 09:00,103.4,508.28,462.58,432,0.1,0,0.6,19,100,934.2
2/1/2020 10:00,103.4,508.28,452.275,434,0.1,265,1.2,18.9,100,934.3
2/1/2020 11:00,103.4,505.66,445.405,434,0.1,57,0.2,18.9,100,934.4
2/1/2020 12:00,103.4,508.28,441.97,432,0.1,104,0.9,18.9,0.5,934.5
2/1/2020 13:00,103.4,508.28,438.535,436,0.1,70,0.6,18.7,0.5,934.6
2/1/2020 14:00,103.4,505.66,436.245,436,0.1,79,0,18.8,100,934.6
2/1/2020 15:00,103.4,508.28,435.1,434,0,47,0.6,19.1,100,934.7
2/1/2020 16:00,103.4,508.28,436.245,434,0.1,54,0.1,19.7,100,934.9
2/1/2020 17:00,105.28,508.28,437.39,436,0.1,359,0.2,19.8,100,935
2/1/2020 18:00,105.28,508.28,441.97,434,0.1,28,0.4,19.8,100,935.2
2/1/2020 19:00,107.16,510.9,448.84,434,0.1,263,0.3,19.9,100,935.4
2/1/2020 20:00,107.16,510.9,456.855,434,0.1,236,0,20.2,100,935.5
2/1/2020 21:00,105.28,516.14,467.16,432,0.1,268,1,20.4,100,935.7
2/1/2020 22:00,105.28,518.76,478.61,438,0.1,171,0,20.7,100,935.9
2/1/2020 23:00,105.28,518.76,490.06,436,0.1,163,0,21.2,100,936.1
3/1/2020 00:00,107.16,521.38,501.51,436,111.2,82,0,21.2,100,936.2
3/1/2020 01:00,107.16,524,514.105,434,80.5,359,0,21.3,100,936.3
3/1/2020 02:00,105.28,529.24,526.7,432,18,77,0.3,22,100,936.4
3/1/2020 03:00,107.16,531.86,538.15,436,8.1,291,0.3,22.9,100,936.5
3/1/2020 04:00,109.04,521.38,548.455,434,10.2,274,1.7,22.5,100,936.6
3/1/2020 05:00,107.16,534.48,563.34,428,31,257,1.1,22.7,100,936.5
3/1/2020 06:00,109.04,534.48,574.79,434,55.9,317,0.2,22.9,100,936.6
3/1/2020 07:00,109.04,526.62,583.95,434,46.9,316,0.3,23.3,100,936.7
3/1/2020 08:00,109.04,529.24,593.11,432,12.7,336,0.9,24.3,100,936.8
3/1/2020 09:00,109.04,537.1,602.27,434,29.8,59,1,25.5,100,936.8
3/1/2020 10:00,109.04,539.72,609.14,434,18.6,348,1.1,25,100,936.8
3/1/2020 11:00,109.04,542.34,613.72,434,19.6,35,0.6,25.4,100,936.8
3/1/2020 12:00,105.28,544.96,618.3,434,38.1,309,0.8,26.3,100,936.8
3/1/2020 13:00,105.28,544.96,622.88,440,21,15,1.4,25.8,100,936.8
3/1/2020 14:00,109.04,542.34,626.315,438,37,333,0.9,26.2,100,936.8
3/1/2020 15:00,105.28,544.96,628.605,432,23.4,340,0.7,25.9,100,936.8
3/1/2020 16:00,105.28,544.96,629.75,438,29.2,339,0.6,26.5,100,936.7
3/1/2020 17:00,105.28,544.96,630.895,438,19.7,60,0.8,26.5,100,936.6
3/1/2020 18:00,105.28,544.96,630.895,438,17.3,8,0.8,26.7,100,936.4
3/1/2020 19:00,105.28,544.96,633.185,438,17.6,15,1,27,100,936.2
3/1/2020 20:00,105.28,547.58,636.62,438,5,1,1.7,26.9,100,936.1
3/1/2020 21:00,105.28,547.58,637.765,436,4.2,312,1,27.7,0.5,935.9
3/1/2020 22:00,101.52,550.2,637.765,436,2.4,22,1.4,27.9,0.5,935.8
3/1/2020 23:00,105.28,547.58,638.91,442,1.4,25,0.9,27.9,0.5,935.6
4/1/2020 00:00,105.28,544.96,641.2,438,4.7,57,0.8,27.9,0.5,935.5
4/1/2020 01:00,105.28,544.96,642.345,438,6.6,342,1.1,28.2,0.5,935.2
4/1/2020 02:00,101.52,547.58,640.055,436,1.8,31,1.1,28.7,0.5,935.1
4/1/2020 03:00,101.52,544.96,636.62,442,1.6,314,0.6,28.3,0.5,934.9
4/1/2020 04:00,99.64,544.96,628.605,442,3.9,85,1.9,28.4,0.5,934.7
4/1/2020 05:00,99.64,542.34,618.3,444,11.7,144,1.7,28.2,0.5,934.4
4/1/2020 06:00,99.64,539.72,607.995,444,30.8,26,1.5,29.3,0.5,934.3
4/1/2020 07:00,97.76,539.72,599.98,446,46.4,109,0.6,29.1,0.5,934.2
4/1/2020 08:00,97.76,537.1,590.82,446,14.2,345,1,29,0.5,934
4/1/2020 09:00,95.88,537.1,581.66,446,45,93,1.4,29.5,0.5,933.8
4/1/2020 10:00,95.88,537.1,572.5,448,40.7,34,0.5,29.7,0.8,933.6
4/1/2020 11:00,94,534.48,561.05,448,35.7,278,1.1,29.5,0.5,933.5
4/1/2020 12:00,94,534.48,550.745,450,48.7,354,0.4,30.2,0.5,933.4
4/1/2020 13:00,92.12,531.86,543.875,450,28.9,11,2,30,0.5,933.2
4/1/2020 14:00,92.12,531.86,540.44,452,39.2,48,1.4,30.4,0.5,933.1
4/1/2020 15:00,94,531.86,541.585,452,45.9,84,1.2,30,0.5,932.9
4/1/2020 16:00,92.12,534.48,546.165,450,41.4,16,2,30,0.5,932.7
4/1/2020 17:00,90.24,534.48,549.6,454,47,32,1,30.1,0.5,932.7
4/1/2020 18:00,86.48,537.1,554.18,456,27.8,78,1.1,29.3,0.5,932.6
4/1/2020 19:00,84.6,539.72,559.905,462,16.3,158,3,28.3,100,932.4
4/1/2020 20:00,82.72,542.34,566.775,464,8.3,215,0.5,27.8,0.5,932.4
4/1/2020 21:00,80.84,544.96,575.935,468,0.1,167,1.4,27.9,0.5,932.5
4/1/2020 22:00,77.08,547.58,587.385,468,0.1,234,0.8,28.4,0.5,932.4
4/1/2020 23:00,77.08,550.2,595.4,472,0.1,271,0.8,28,0.5,932.4
5/1/2020 00:00,75.2,555.44,604.56,472,1,203,2.4,27.5,0.5,932.3
5/1/2020 01:00,75.2,560.68,625.17,476,0.1,146,1.9,26.8,100,932.4
